CourseCure|wlq2_quiz_actions|coursecure
Crawler for Elementor|crawler_elementor_cache|crawler-elementor
CSS Hero|csshero4|css-hero
CSS Hero|csshero5|css-hero
CTL Arcade|ctl_arcade_games|ctl-arcade
CTL Arcade|ctl_arcade_scores|ctl-arcade
CTL Arcade|ctl_arcade_ratings|ctl-arcade
CTL Arcade|ctl_arcade_settings|ctl-arcade
Deactivate Plugins per Page|dppp_plugin_deactivation_rules|deactivate-plugins-per-page
Defender|defender_lockout|wp-defender
Download Monitor|dlm_downloads|download-monitor
Download Monitor|dlm_reports_log|download-monitor
Duplicator|duplicator_backups|duplicator
Duplicator|duplicator_entities|duplicator
Easy Digital Downloads|edd_notes|easy-digital-downloads
Easy Digital Downloads|edd_ordermeta|easy-digital-downloads
Easy Digital Downloads|edd_orders|easy-digital-downloads
Easy Digital Downloads|edd_order_items|easy-digital-downloads
Easy Digital Downloads|edd_order_transactions|easy-digital-downloads
Easy Digital Downloads|edd_customer_email_addresses|easy-digital-downloads
Easy Digital Downloads|edd_order_itemmeta|easy-digital-downloads
Easy Digital Downloads|edd_order_addresses|easy-digital-downloads
Easy Digital Downloads|edd_customer_addresses|easy-digital-downloads
Easy Digital Downloads|edd_order_adjustments|easy-digital-downloads
Easy Digital Downloads|edd_logs_api_requests|easy-digital-downloads
Easy Digital Downloads|edd_logs_api_requestmeta|easy-digital-downloads
Easy Digital Downloads|edd_logs_file_downloads|easy-digital-downloads
Easy Digital Downloads|edd_logs|easy-digital-downloads
Easy Digital Downloads|edd_logs_file_downloadmeta|easy-digital-downloads
Easy Digital Downloads|edd_adjustments|easy-digital-downloads
Easy Digital Downloads|edd_adjustmentmeta|easy-digital-downloads
Easy Digital Downloads|edd_logmeta|easy-digital-downloads
Easy Digital Downloads|edd_notemeta|easy-digital-downloads
Easy Digital Downloads|edd_order_adjustmentmeta|easy-digital-downloads
Elementor|e_notes|elementor
Elementor|e_submissions|elementor
Elementor|e_submissions_actions_log|elementor
Elementor|e_notes_users_relations|elementor
Elementor|e_submissions_values|elementor
Elementor|e_events|elementor
Error Log Monitor|elm_summary|plugin
Error Log Monitor|elm_summary_progress|plugin
Error Log Monitor|elm_daily_stats|plugin
Error Log Monitor|elm_hourly_stats|plugin
Events Made Easy|eme_people|events-made-easy
Events Made Easy|eme_bookings|events-made-easy
Events Made Easy|eme_task_signups|events-made-easy
Events Made Easy|eme_dgroups|events-made-easy
Events Made Easy|eme_members|events-made-easy
Events Made Easy|eme_discounts|events-made-easy
Events Made Easy|eme_formfields|events-made-easy
Events Made Easy|eme_attendances|events-made-easy
Events Made Easy|eme_groups|events-made-easy
Events Made Easy|eme_holidays|events-made-easy
Events Made Easy|eme_recurrence|events-made-easy
Events Made Easy|eme_categories|events-made-easy
Events Made Easy|eme_locations|events-made-easy
Events Made Easy|eme_states|events-made-easy
Events Made Easy|eme_countries|events-made-easy
Events Made Easy|eme_mailings|events-made-easy
Events Made Easy|eme_tasks|events-made-easy
Events Made Easy|eme_memberships|events-made-easy
Events Made Easy|eme_templates|events-made-easy
Events Made Easy|eme_usergroups|events-made-easy
